cik,ticker,company_name,industry,sic_code
0000320193,AAPL,Apple Inc.,Technology,3571
0000789019,MSFT,Microsoft Corporation,Technology,7372
0001018724,AMZN,Amazon.com Inc.,Consumer Discretionary,5961
0001652044,GOOGL,Alphabet Inc.,Technology,7370
0001326801,META,Meta Platforms Inc.,Technology,7370
0001318605,TSLA,Tesla Inc.,Consumer Discretionary,3711
0001065280,NFLX,Netflix Inc.,Technology,7812
0001045810,NVDA,NVIDIA Corporation,Technology,3674
0000050863,INTC,Intel Corporation,Technology,3674
0000051143,IBM,IBM Corporation,Technology,7371
0000858877,CSCO,Cisco Systems Inc.,Technology,3576
0000796343,ADBE,Adobe Inc.,Technology,7372
0001108524,CRM,Salesforce Inc.,Technology,7372
0001341439,ORCL,Oracle Corporation,Technology,7372
0000078003,PFE,Pfizer Inc.,Healthcare,2836
0000101830,JNJ,Johnson & Johnson,Healthcare,2836
0000060667,MRK,Merck & Co. Inc.,Healthcare,2830
0000001800,ABT,Abbott Laboratories,Healthcare,3841
0000731766,UNH,UnitedHealth Group Inc.,Healthcare,6324
0000059478,LLY,Eli Lilly and Company,Healthcare,2836
0001551152,ABBV,AbbVie Inc.,Healthcare,2836
0000014272,BMY,Bristol-Myers Squibb Company,Healthcare,2836
0000820081,AMGN,Amgen Inc.,Healthcare,2836
0000310764,CVS,CVS Health Corporation,Healthcare,5912
0000019617,JPM,JPMorgan Chase & Co.,Financials,6020
0000070858,BAC,Bank of America Corporation,Financials,6020
0000072971,WFC,Wells Fargo & Company,Financials,6020
0000831001,GS,Goldman Sachs Group Inc.,Financials,6211
0000895421,MS,Morgan Stanley,Financials,6211
0000040729,C,Citigroup Inc.,Financials,6020
0001364742,BLK,BlackRock Inc.,Financials,6282
0000036104,USB,U.S. Bancorp,Financials,6020
0000034088,XOM,Exxon Mobil Corporation,Energy,2911
0000310522,CVX,Chevron Corporation,Energy,2911
0000315189,SLB,SLB (Schlumberger),Energy,1389
0000101778,COP,ConocoPhillips,Energy,2911
0000821189,EOG,EOG Resources Inc.,Energy,1311
0000315203,PXD,Pioneer Natural Resources,Energy,1311
0000021344,KO,Coca-Cola Company,Consumer Staples,2080
0000077476,PEP,PepsiCo Inc.,Consumer Staples,2080
0000080424,PG,Procter & Gamble Company,Consumer Staples,2840
0000104169,WMT,Walmart Inc.,Consumer Staples,5331
0000093410,MCD,McDonald's Corporation,Consumer Discretionary,5812
0000354950,HD,Home Depot Inc.,Consumer Discretionary,5251
0000909832,COST,Costco Wholesale Corporation,Consumer Discretionary,5331
0000320187,NKE,Nike Inc.,Consumer Discretionary,3140
0000829224,SBUX,Starbucks Corporation,Consumer Discretionary,5812
0001001039,DIS,Walt Disney Company,Consumer Discretionary,7812
0000040987,GE,GE Aerospace,Industrials,3600
0000012927,BA,Boeing Company,Industrials,3728
0000773840,HON,Honeywell International Inc.,Industrials,3812
0000018230,CAT,Caterpillar Inc.,Industrials,3531
